Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtUnfSF,TotalBsmtSF,HeatingQC,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,TotalBath,TotalHalfBath,HouseAge,RemodelledAge,GarageAge
1461,20,80.0,11622,5,6,0.0,3,3,3,3,270.0,882.0,3,0,896,2,1,3,5,0,0,1.0,730.0,3,3,140,0,0,0,120,0,0,0,6,1.0,0.0,49,49,49.0
1462,20,81.0,14267,6,6,108.0,3,3,3,3,406.0,1329.0,3,0,1329,3,1,4,6,0,0,1.0,312.0,3,3,393,36,0,0,0,0,0,12500,6,1.0,1.0,52,52,52.0
1463,60,74.0,13830,5,5,0.0,3,3,4,3,137.0,928.0,4,0,1629,3,1,3,6,1,3,2.0,482.0,3,3,212,34,0,0,0,0,0,0,3,2.0,1.0,13,12,13.0
1464,60,78.0,9978,6,6,20.0,3,3,3,3,324.0,926.0,5,0,1604,3,1,4,7,1,4,2.0,470.0,3,3,360,36,0,0,0,0,0,0,6,2.0,1.0,12,12,12.0
1465,120,43.0,5005,8,5,0.0,4,3,4,3,1017.0,1280.0,5,0,1280,2,1,4,5,0,0,2.0,506.0,3,3,0,82,0,0,144,0,0,0,1,2.0,0.0,18,18,18.0
1466,60,75.0,10000,6,5,0.0,3,3,4,3,763.0,763.0,4,0,1655,3,1,3,7,1,3,2.0,440.0,3,3,157,84,0,0,0,0,0,0,4,2.0,1.0,17,16,17.0
1467,20,,7980,6,7,0.0,3,4,4,3,233.0,1168.0,5,0,1187,3,1,3,6,0,0,2.0,420.0,3,3,483,21,0,0,0,0,0,500,3,3.0,0.0,18,3,18.0
1468,60,63.0,8402,6,5,0.0,3,3,4,3,789.0,789.0,4,0,1465,3,1,3,7,1,4,2.0,393.0,3,3,0,75,0,0,0,0,0,0,5,2.0,1.0,12,12,12.0
1469,20,85.0,10176,7,5,0.0,3,3,4,3,663.0,1300.0,4,0,1341,2,1,4,5,1,1,2.0,506.0,3,3,192,0,0,0,0,0,0,0,2,2.0,1.0,20,20,20.0
1470,20,70.0,8400,4,5,0.0,3,3,3,3,0.0,882.0,3,0,882,2,1,3,4,0,0,2.0,525.0,3,3,240,0,0,0,0,0,0,0,4,2.0,0.0,40,40,40.0
1471,120,26.0,5858,7,5,0.0,4,3,4,3,354.0,1405.0,5,0,1337,2,1,4,5,1,2,2.0,511.0,3,3,203,68,0,0,0,0,0,0,6,3.0,0.0,11,11,11.0
1472,160,21.0,1680,6,5,504.0,3,3,3,3,327.0,483.0,3,0,987,2,1,3,5,0,0,1.0,264.0,3,3,275,0,0,0,0,0,0,0,2,1.0,1.0,39,39,39.0
1473,160,21.0,1680,5,5,492.0,3,3,3,3,225.0,525.0,3,0,1092,3,1,3,6,0,0,1.0,320.0,3,3,0,0,0,0,0,0,0,0,3,1.0,1.0,39,39,13.0
1474,160,24.0,2280,6,6,0.0,3,3,3,3,341.0,855.0,3,0,1456,3,1,4,6,1,3,2.0,440.0,3,3,173,0,0,0,0,0,0,0,6,2.0,1.0,35,35,35.0
1475,120,24.0,2280,7,6,0.0,3,3,4,3,836.0,836.0,5,0,836,2,1,3,4,0,0,1.0,308.0,3,3,0,30,0,0,0,0,0,0,6,1.0,0.0,35,35,35.0
1476,60,102.0,12858,9,5,162.0,5,3,5,3,1590.0,1590.0,5,0,2334,3,1,5,10,1,4,3.0,751.0,3,3,144,133,0,0,0,0,0,0,1,2.0,1.0,1,0,1.0
1477,20,94.0,12883,8,5,256.0,4,3,4,3,1544.0,1544.0,5,0,1544,3,1,4,7,0,0,3.0,868.0,3,3,0,35,0,0,0,0,0,0,6,2.0,0.0,1,0,1.0
1478,20,90.0,11520,9,5,615.0,4,3,5,3,1588.0,1698.0,5,0,1698,3,1,5,7,1,4,3.0,730.0,3,3,192,74,0,0,0,0,0,0,6,2.0,0.0,5,5,5.0
1479,20,79.0,14122,8,5,240.0,4,3,5,3,1794.0,1822.0,5,0,1822,3,1,5,8,1,4,3.0,678.0,3,3,0,119,0,0,0,0,0,0,2,2.0,0.0,5,4,5.0
1480,20,110.0,14300,9,5,1095.0,5,3,5,3,1473.0,2846.0,5,0,2696,3,1,5,10,2,4,3.0,958.0,3,3,220,150,0,0,0,0,0,0,6,3.0,1.0,7,6,7.0
1481,60,105.0,13650,8,5,232.0,4,3,4,3,1093.0,1671.0,5,0,2250,3,1,4,7,1,5,3.0,756.0,3,3,238,130,0,0,0,0,0,0,6,3.0,1.0,8,8,8.0
1482,120,41.0,7132,8,5,178.0,4,3,4,3,1346.0,1370.0,5,0,1370,2,1,4,6,1,4,2.0,484.0,3,3,120,49,0,0,0,0,0,0,4,2.0,0.0,4,4,4.0
1483,20,100.0,18494,6,5,0.0,4,3,4,3,1324.0,1324.0,5,0,1324,3,1,4,6,0,0,2.0,430.0,3,3,36,23,0,0,0,0,0,0,1,2.0,0.0,5,5,5.0
1484,120,43.0,3203,7,5,14.0,4,3,4,3,1129.0,1145.0,5,0,1145,2,1,4,6,0,0,2.0,437.0,3,3,100,116,0,0,0,0,0,0,1,2.0,0.0,4,4,4.0
1485,80,67.0,13300,7,5,0.0,4,3,4,3,58.0,384.0,5,0,1374,3,1,4,7,1,4,2.0,400.0,3,3,100,0,0,0,0,0,0,0,6,3.0,1.0,6,6,6.0
1486,60,63.0,8577,7,5,0.0,4,3,4,3,847.0,847.0,5,0,1733,3,1,4,7,1,4,2.0,433.0,3,3,144,48,0,0,0,0,0,0,4,2.0,1.0,6,6,6.0
1487,60,60.0,17433,8,5,114.0,4,3,5,3,1629.0,1629.0,5,0,2475,4,1,4,7,1,3,3.0,962.0,3,3,23,172,0,0,256,0,0,0,1,2.0,1.0,12,12,12.0
1488,20,73.0,8987,8,5,226.0,4,3,4,3,1595.0,1595.0,5,0,1595,2,1,4,6,1,4,3.0,880.0,3,3,144,0,0,0,0,0,0,0,5,2.0,0.0,5,4,5.0
1489,20,92.0,9215,7,5,0.0,4,3,4,3,1218.0,1218.0,5,0,1218,2,1,4,4,0,0,2.0,676.0,3,3,0,136,0,0,0,0,0,0,4,2.0,0.0,1,0,1.0
